District name,Category,Student group,2021-2022 student count - year to date,2021-2022 attendance rate - year to date,2020-2021 student count,2020-2021 attendance rate,2019-2020 student count,2019-2020 attendance rate,Coordinates
Connecticut,,All Students,500285,0.9169,496092.0,0.9294,508346.0,0.9479,
Connecticut,Homelessness,Students Experiencing Homelessness,1814,0.8348,1735.0,0.8155,3916.0,0.8884,
Connecticut,Students With Disabilities,Students With Disabilities,78417,0.8899,76487.0,0.8946,80365.0,0.9277,
Connecticut,Free/Reduced Lunch,Free Meal Eligible,168984,0.8851,176225.0,0.8861,193706.0,0.9314,
Connecticut,Free/Reduced Lunch,Reduced Price Meal Eligible,29905,0.9184,30886.0,0.9299,27507.0,0.9518,
Connecticut,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,198889,0.8901,207111.0,0.8927,221213.0,0.934,
Connecticut,English Learners,English Learners,43571,0.8976,40619.0,0.8948,45413.0,0.9389,
Connecticut,Race/Ethnicity,All other races,48700,0.9314,47339.0,0.9483,47260.0,0.9559,
Connecticut,Race/Ethnicity,Black or African American,63099,0.8941,62267.0,0.8931,64200.0,0.9401,
Connecticut,Race/Ethnicity,Hispanic/Latino of any race,146298,0.8935,138260.0,0.8975,136953.0,0.9362,
Connecticut,Race/Ethnicity,White,242188,0.9338,248226.0,0.9523,259933.0,0.9543,
Connecticut,High Needs,Students Without High Needs,241106,0.9398,236395.0,0.9616,241610.0,0.9606,
Connecticut,High Needs,Students With High Needs,248239,0.8954,251220.0,0.8996,266736.0,0.9361,
Andover School District,,All Students,161,0.9386,144.0,0.968,158.0,0.9502,"41.728584995, -72.366581965)"
Andover School District,Students With Disabilities,Students With Disabilities,23,0.9315,,,,,"41.728584995, -72.366581965)"
Andover School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,30,0.9274,31.0,0.9414,37.0,0.9401,"41.728584995, -72.366581965)"
Andover School District,Race/Ethnicity,White,134,0.9365,115.0,0.9699,128.0,0.9479,"41.728584995, -72.366581965)"
Andover School District,High Needs,Students Without High Needs,113,0.941,100.0,0.9752,108.0,0.9552,"41.728584995, -72.366581965)"
Andover School District,High Needs,Students With High Needs,48,0.9328,44.0,0.9513,50.0,0.9389,"41.728584995, -72.366581965)"
Ansonia School District,,All Students,2139,0.9045,2153.0,0.8923,2185.0,0.9413,"41.341123013, -73.084294998)"
Ansonia School District,Students With Disabilities,Students With Disabilities,369,0.8897,394.0,0.8692,411.0,0.9337,"41.341123013, -73.084294998)"
Ansonia School District,Free/Reduced Lunch,Free Meal Eligible,1192,0.8893,1217.0,0.8657,1312.0,0.9312,"41.341123013, -73.084294998)"
Ansonia School District,Free/Reduced Lunch,Reduced Price Meal Eligible,225,0.9282,213.0,0.9234,147.0,0.9563,"41.341123013, -73.084294998)"
Ansonia School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,1417,0.8953,1430.0,0.8743,1459.0,0.9338,"41.341123013, -73.084294998)"
Ansonia School District,English Learners,English Learners,122,0.918,119.0,0.8951,129.0,0.9506,"41.341123013, -73.084294998)"
Ansonia School District,Race/Ethnicity,All other races,149,0.9191,166.0,0.9105,170.0,0.9451,"41.341123013, -73.084294998)"
Ansonia School District,Race/Ethnicity,Black or African American,434,0.8987,421.0,0.8693,434.0,0.9414,"41.341123013, -73.084294998)"
Ansonia School District,Race/Ethnicity,Hispanic/Latino of any race,987,0.8994,946.0,0.8798,923.0,0.9366,"41.341123013, -73.084294998)"
Ansonia School District,Race/Ethnicity,White,569,0.9136,620.0,0.9217,658.0,0.9468,"41.341123013, -73.084294998)"
Ansonia School District,High Needs,Students Without High Needs,528,0.9287,551.0,0.9389,587.0,0.9568,"41.341123013, -73.084294998)"
Ansonia School District,High Needs,Students With High Needs,1545,0.8968,1563.0,0.8764,1598.0,0.9355,"41.341123013, -73.084294998)"
Ashford School District,,All Students,343,0.9309,344.0,0.955,348.0,0.9585,"41.892517, -72.169207005)"
Ashford School District,Students With Disabilities,Students With Disabilities,46,0.9253,47.0,0.9573,56.0,0.9468,"41.892517, -72.169207005)"
Ashford School District,Free/Reduced Lunch,Free Meal Eligible,92,0.9167,98.0,0.9281,,,"41.892517, -72.169207005)"
Ashford School District,Free/Reduced Lunch,Reduced Price Meal Eligible,21,0.9174,28.0,0.9424,,,"41.892517, -72.169207005)"
Ashford School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,113,0.9168,126.0,0.9312,130.0,0.9477,"41.892517, -72.169207005)"
Ashford School District,Race/Ethnicity,Hispanic/Latino of any race,31,0.9133,27.0,0.9408,22.0,0.9353,"41.892517, -72.169207005)"
Ashford School District,Race/Ethnicity,White,283,0.9349,292.0,0.9598,298.0,0.9607,"41.892517, -72.169207005)"
Ashford School District,High Needs,Students Without High Needs,189,0.9385,179.0,0.9686,182.0,0.9666,"41.892517, -72.169207005)"
Ashford School District,High Needs,Students With High Needs,145,0.9206,155.0,0.938,166.0,0.9496,"41.892517, -72.169207005)"
Avon School District,,All Students,3057,0.9457,3093.0,0.9621,3138.0,0.9583,"41.79274398, -72.889560001)"
Avon School District,Students With Disabilities,Students With Disabilities,324,0.9207,305.0,0.9309,330.0,0.9421,"41.79274398, -72.889560001)"
Avon School District,Free/Reduced Lunch,Free Meal Eligible,226,0.9145,184.0,0.9152,243.0,0.9389,"41.79274398, -72.889560001)"
Avon School District,Free/Reduced Lunch,Reduced Price Meal Eligible,60,0.9022,51.0,0.9356,47.0,0.9365,"41.79274398, -72.889560001)"
Avon School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,286,0.9119,235.0,0.9197,290.0,0.9385,"41.79274398, -72.889560001)"
Avon School District,English Learners,English Learners,76,0.9414,90.0,0.9601,104.0,0.9435,"41.79274398, -72.889560001)"
Avon School District,Race/Ethnicity,All other races,712,0.9543,737.0,0.976,755.0,0.9643,"41.79274398, -72.889560001)"
Avon School District,Race/Ethnicity,Black or African American,179,0.9224,172.0,0.9299,162.0,0.9478,"41.79274398, -72.889560001)"
Avon School District,Race/Ethnicity,Hispanic/Latino of any race,221,0.9349,226.0,0.9414,215.0,0.952,"41.79274398, -72.889560001)"
Avon School District,Race/Ethnicity,White,1945,0.9458,1958.0,0.962,2006.0,0.9576,"41.79274398, -72.889560001)"
Avon School District,High Needs,Students Without High Needs,2427,0.9517,2501.0,0.9681,2531.0,0.9622,"41.79274398, -72.889560001)"
Avon School District,High Needs,Students With High Needs,587,0.9221,546.0,0.9348,607.0,0.9417,"41.79274398, -72.889560001)"
Barkhamsted School District,,All Students,199,0.9305,193.0,0.9698,199.0,0.9573,"41.910804008, -72.989809994)"
Barkhamsted School District,Students With Disabilities,Students With Disabilities,45,0.9123,44.0,0.9578,56.0,0.9536,"41.910804008, -72.989809994)"
Barkhamsted School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,44,0.9239,43.0,0.9626,54.0,0.9533,"41.910804008, -72.989809994)"
Barkhamsted School District,Race/Ethnicity,White,176,0.931,175.0,0.9693,182.0,0.9565,"41.910804008, -72.989809994)"
Barkhamsted School District,High Needs,Students Without High Needs,124,0.9369,118.0,0.9761,113.0,0.9614,"41.910804008, -72.989809994)"
Barkhamsted School District,High Needs,Students With High Needs,73,0.9191,71.0,0.96,86.0,0.9519,"41.910804008, -72.989809994)"
Berlin School District,,All Students,2613,0.9341,2680.0,0.9542,2700.0,0.9562,"41.637294, -72.784599966)"
Berlin School District,Students With Disabilities,Students With Disabilities,385,0.907,403.0,0.9249,398.0,0.9356,"41.637294, -72.784599966)"
Berlin School District,Free/Reduced Lunch,Free Meal Eligible,429,0.9039,504.0,0.9183,504.0,0.9379,"41.637294, -72.784599966)"
Berlin School District,Free/Reduced Lunch,Reduced Price Meal Eligible,128,0.9146,126.0,0.9532,83.0,0.9543,"41.637294, -72.784599966)"
Berlin School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,557,0.9063,630.0,0.9253,587.0,0.9403,"41.637294, -72.784599966)"
Berlin School District,English Learners,English Learners,95,0.9171,105.0,0.9298,96.0,0.9413,"41.637294, -72.784599966)"
Berlin School District,Race/Ethnicity,All other races,192,0.9411,199.0,0.9519,190.0,0.9627,"41.637294, -72.784599966)"
Berlin School District,Race/Ethnicity,Black or African American,64,0.9271,77.0,0.9379,63.0,0.9473,"41.637294, -72.784599966)"
Berlin School District,Race/Ethnicity,Hispanic/Latino of any race,317,0.905,321.0,0.9217,313.0,0.9364,"41.637294, -72.784599966)"
Berlin School District,Race/Ethnicity,White,2040,0.9383,2083.0,0.96,2134.0,0.9587,"41.637294, -72.784599966)"
Berlin School District,High Needs,Students Without High Needs,1756,0.9449,1763.0,0.9653,1838.0,0.9629,"41.637294, -72.784599966)"
Berlin School District,High Needs,Students With High Needs,841,0.9121,906.0,0.9324,862.0,0.9416,"41.637294, -72.784599966)"
Bethany School District,,All Students,391,0.9489,356.0,0.9637,354.0,0.9573,"41.424355019, -73.000168015)"
Bethany School District,Students With Disabilities,Students With Disabilities,54,0.9432,48.0,0.9581,46.0,0.9525,"41.424355019, -73.000168015)"
Bethany School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,50,0.9404,46.0,0.9232,49.0,0.9406,"41.424355019, -73.000168015)"
Bethany School District,Race/Ethnicity,All other races,42,0.948,,,28.0,0.9706,"41.424355019, -73.000168015)"
Bethany School District,Race/Ethnicity,White,307,0.9501,290.0,0.9643,296.0,0.9584,"41.424355019, -73.000168015)"
Bethany School District,High Needs,Students Without High Needs,280,0.9514,257.0,0.9705,260.0,0.961,"41.424355019, -73.000168015)"
Bethany School District,High Needs,Students With High Needs,105,0.9427,95.0,0.9452,94.0,0.947,"41.424355019, -73.000168015)"
Bethel School District,,All Students,3102,0.9375,3052.0,0.9506,3080.0,0.9563,"41.372819013, -73.413027038)"
Bethel School District,Students With Disabilities,Students With Disabilities,405,0.9204,371.0,0.9139,387.0,0.9432,"41.372819013, -73.413027038)"
Bethel School District,Free/Reduced Lunch,Free Meal Eligible,686,0.9225,726.0,0.9211,772.0,0.9476,"41.372819013, -73.413027038)"
Bethel School District,Free/Reduced Lunch,Reduced Price Meal Eligible,217,0.9406,233.0,0.9478,215.0,0.9578,"41.372819013, -73.413027038)"
Bethel School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,903,0.9269,959.0,0.9277,987.0,0.9498,"41.372819013, -73.413027038)"
Bethel School District,English Learners,English Learners,167,0.9278,183.0,0.9243,222.0,0.9506,"41.372819013, -73.413027038)"
Bethel School District,Race/Ethnicity,All other races,384,0.9475,362.0,0.965,359.0,0.962,"41.372819013, -73.413027038)"
Bethel School District,Race/Ethnicity,Black or African American,128,0.9403,111.0,0.9449,101.0,0.9552,"41.372819013, -73.413027038)"
Bethel School District,Race/Ethnicity,Hispanic/Latino of any race,744,0.9343,688.0,0.9353,685.0,0.9577,"41.372819013, -73.413027038)"
Bethel School District,Race/Ethnicity,White,1846,0.9365,1891.0,0.9535,1935.0,0.9548,"41.372819013, -73.413027038)"
Bethel School District,High Needs,Students Without High Needs,1821,0.9447,1753.0,0.9664,1805.0,0.9608,"41.372819013, -73.413027038)"
Bethel School District,High Needs,Students With High Needs,1216,0.9274,1242.0,0.9299,1275.0,0.9498,"41.372819013, -73.413027038)"
Bloomfield School District,,All Students,1734,0.9293,1756.0,0.9385,1908.0,0.9532,"41.827886995, -72.726157984)"
Bloomfield School District,Students With Disabilities,Students With Disabilities,369,0.9126,348.0,0.9105,364.0,0.9426,"41.827886995, -72.726157984)"
Bloomfield School District,Free/Reduced Lunch,Free Meal Eligible,775,0.918,898.0,0.9217,1009.0,0.9471,"41.827886995, -72.726157984)"
Bloomfield School District,Free/Reduced Lunch,Reduced Price Meal Eligible,163,0.931,191.0,0.9418,198.0,0.9569,"41.827886995, -72.726157984)"
Bloomfield School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,938,0.9203,1089.0,0.9253,1207.0,0.9487,"41.827886995, -72.726157984)"
Bloomfield School District,English Learners,English Learners,87,0.9221,76.0,0.9234,78.0,0.9424,"41.827886995, -72.726157984)"
Bloomfield School District,Race/Ethnicity,All other races,101,0.9215,85.0,0.9372,98.0,0.9485,"41.827886995, -72.726157984)"
Bloomfield School District,Race/Ethnicity,Black or African American,1273,0.9346,1353.0,0.9427,1476.0,0.9577,"41.827886995, -72.726157984)"
Bloomfield School District,Race/Ethnicity,Hispanic/Latino of any race,296,0.9117,252.0,0.915,255.0,0.934,"41.827886995, -72.726157984)"
Bloomfield School District,Race/Ethnicity,White,64,0.9154,66.0,0.9423,79.0,0.9372,"41.827886995, -72.726157984)"
Bloomfield School District,High Needs,Students Without High Needs,607,0.9426,540.0,0.9626,587.0,0.9625,"41.827886995, -72.726157984)"
