District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Litchfield School District,Center School,Public Schools,0740211,125 West St,Litchfield,06759,860-567-7510,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"125 West St
Litchfield, CT 06759
(41.745794007, -73.194830005)"
Norwalk School District,Brien McMahon High School,Public Schools,1036211,300 Highland Avenue,Norwalk,06854,203-852-9488,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"300 Highland Avenue
Norwalk, CT 06854
(41.085690004, -73.433214013)"
Waterbury School District,H. S. Chase School,Public Schools,1510711,40 Woodtick Rd.,Waterbury,06705-2207,203-574-8188,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"40 Woodtick Rd.
Waterbury, CT 06705-2207
(41.552633006, -73.005926969)"
Bridgeport School District,Jettie S. Tisdale School,Public Schools,0152211,250 Hollister Avenue,Bridgeport,06607,203-576-8037,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"250 Hollister Avenue
Bridgeport, CT 06607
(41.17816201, -73.160356997)"
Regional School District 06,Goshen Center School,Regional Schools,2060112,50 North St.,Goshen,06756-1509,860-491-6020,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"50 North St.
Goshen, CT 06756-1509
(41.83492398, -73.226575038)"
Sterling School District,Sterling Community School,Public Schools,1360311,251 Sterling Rd.,Sterling,06377,860-564-2728,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007-09-03T00:00:00.000,0,"251 Sterling Rd.
Sterling, CT 06377
(41.705219015, -71.836081004)"
Norwalk School District,Jefferson Marine Science Elementary School,Public Schools,1030711,75 Van Buren Avenue,Norwalk,06850,203-899-2870,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"75 Van Buren Avenue
Norwalk, CT 06850
(41.116320999, -73.421284972)"
Woodstock School District,Woodstock Elementary School,Public Schools,1690211,24 Frog Pond Rd.,Woodstock,06281-3009,860-928-0471,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"24 Frog Pond Rd.
Woodstock, CT 06281-3009
(41.945877998, -71.96415003)"
Hartford School District,Parkville Community School,Public Schools,0641511,47 New Park Avenue,Hartford,06106-2160,860-695-4721,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"47 New Park Avenue
Hartford, CT 06106-2160
(41.756601004, -72.707501041)"
Colchester School District,Bacon Academy,Public Schools,0286111,611 Norwich Ave.,Colchester,06415-2142,860-537-2378,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"611 Norwich Ave.
Colchester, CT 06415-2142
(41.576577002, -72.302646987)"
